category	name	hacker	code	status	address
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	50001202 0101	DIRECTIVE	
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	80105D98 0101	WRITE	0x80105D98
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	50001202 0101	DIRECTIVE	
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	80105DE8 0101	WRITE	0x80105DE8
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	50001202 0101	DIRECTIVE	
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	80105E38 0101	WRITE	0x80105E38
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	50001202 0101	DIRECTIVE	
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	80105E78 0101	WRITE	0x80105E78
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	50001202 0101	DIRECTIVE	
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	80105EB8 0101	WRITE	0x80105EB8
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	50001202 0101	DIRECTIVE	
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	80105F08 0101	WRITE	0x80105F08
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	50001202 0101	DIRECTIVE	
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	80105F58 0101	WRITE	0x80105F58
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	50001202 0101	DIRECTIVE	
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	80105FA8 0101	WRITE	0x80105FA8
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	50001202 0101	DIRECTIVE	
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	80105FF8 0101	WRITE	0x80105FF8
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	50001202 0101	DIRECTIVE	
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	80106048 0101	WRITE	0x80106048
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	50001202 0101	DIRECTIVE	
722 Slot Chest Card Deck Codes	Infinite Usage Of All Cards	Police NYPD	80106058 0101	WRITE	0x80106058
Bandit Keith Codes	0 Losses	Police NYPD	801D074E 0000	WRITE	0x801D074E
Bandit Keith Codes	Max Wins	Police NYPD	801D074C 270F	WRITE	0x801D074C
Card 1 Codes	0 Attack Power	Police NYPD	801A7D16 0000	WRITE	0x801A7D16
Card 1 Codes	0 Defense Power	Police NYPD	801A7D18 0000	WRITE	0x801A7D18
Card 1 Codes	Max Attack Power	Police NYPD	801A7B72 270F	WRITE	0x801A7B72
Card 1 Codes	Max Attack Power	Police NYPD	801A7D16 270F	WRITE	0x801A7D16
Card 1 Codes	Max Defense Power	Police NYPD	801A7B74 270F	WRITE	0x801A7B74
Card 1 Codes	Max Defense Power	Police NYPD	801A7D18 270F	WRITE	0x801A7D18
Card 2 Codes	0 Attack Power	Police NYPD	801A7D32 0000	WRITE	0x801A7D32
Card 2 Codes	0 Defense Power	Police NYPD	801A7D34 0000	WRITE	0x801A7D34
Card 2 Codes	Max Attack Power	Police NYPD	801A7B8E 270F	WRITE	0x801A7B8E
Card 2 Codes	Max Attack Power	Police NYPD	801A7D32 270F	WRITE	0x801A7D32
Card 2 Codes	Max Defense Power	Police NYPD	801A7B90 270F	WRITE	0x801A7B90
Card 2 Codes	Max Defense Power	Police NYPD	801A7D34 270F	WRITE	0x801A7D34
Card 3 Codes	0 Attack Power	Police NYPD	801A7D4E 0000	WRITE	0x801A7D4E
Card 3 Codes	0 Defense Power	Police NYPD	801A7D50 0000	WRITE	0x801A7D50
Card 3 Codes	Max Attack Power	Police NYPD	801A7BAA 270F	WRITE	0x801A7BAA
Card 3 Codes	Max Attack Power	Police NYPD	801A7D4E 270F	WRITE	0x801A7D4E
Card 3 Codes	Max Defense Power	Police NYPD	801A7BAC 270F	WRITE	0x801A7BAC
Card 3 Codes	Max Defense Power	Police NYPD	801A7D50 270F	WRITE	0x801A7D50
Card 4 Codes	0 Attack Power	Police NYPD	801A7D6A 0000	WRITE	0x801A7D6A
Card 4 Codes	0 Defense Power	Police NYPD	801A7D6C 0000	WRITE	0x801A7D6C
Card 4 Codes	Max Attack Power	Police NYPD	801A7BC6 270F	WRITE	0x801A7BC6
Card 4 Codes	Max Attack Power	Police NYPD	801A7D6A 270F	WRITE	0x801A7D6A
Card 4 Codes	Max Defense Power	Police NYPD	801A7BC8 270F	WRITE	0x801A7BC8
Card 4 Codes	Max Defense Power	Police NYPD	801A7D6C 270F	WRITE	0x801A7D6C
Card 5 Codes	0 Attack Power	Police NYPD	801A7D82 0000	WRITE	0x801A7D82
Card 5 Codes	0 Defense Power	Police NYPD	801A7D84 0000	WRITE	0x801A7D84
Card 5 Codes	Max Attack Power	Police NYPD	801A7BE2 270F	WRITE	0x801A7BE2
Card 5 Codes	Max Attack Power	Police NYPD	801A7D82 270F	WRITE	0x801A7D82
Card 5 Codes	Max Defense Power	Police NYPD	801A7BE4 270F	WRITE	0x801A7BE4
Card 5 Codes	Max Defense Power	Police NYPD	801A7D84 270F	WRITE	0x801A7D84
COM "Enemy" Codes	All Monsters On Opponent Field Have 0 ATK	roughnight	C0008482 801E	DIRECTIVE	
COM "Enemy" Codes	All Monsters On Opponent Field Have 0 ATK	roughnight	5000051C 0000	DIRECTIVE	
COM "Enemy" Codes	All Monsters On Opponent Field Have 0 ATK	roughnight	801A7D16 0000	WRITE	0x801A7D16
COM "Enemy" Codes	All Monsters On Opponent Field Have 0 DEF	roughnight	C0008482 801E	DIRECTIVE	
COM "Enemy" Codes	All Monsters On Opponent Field Have 0 DEF	roughnight	5000051C 0000	DIRECTIVE	
COM "Enemy" Codes	All Monsters On Opponent Field Have 0 DEF	roughnight	801A7D18 0000	WRITE	0x801A7D18
COM "Enemy" Codes	All Monsters On Opponent Field Have The Same ATK (Modifier)	roughnight	C0008482 801E	DIRECTIVE	
COM "Enemy" Codes	All Monsters On Opponent Field Have The Same ATK (Modifier)	roughnight	5000051C 0000	DIRECTIVE	
COM "Enemy" Codes	All Monsters On Opponent Field Have The Same DEF (Modifier)	roughnight	C0008482 801E	DIRECTIVE	
COM "Enemy" Codes	All Monsters On Opponent Field Have The Same DEF (Modifier)	roughnight	5000051C 0000	DIRECTIVE	
Darknite Codes	0 Losses	Police NYPD	801D07B2 0000	WRITE	0x801D07B2
Darknite Codes	Max Wins	Police NYPD	801D07B0 270F	WRITE	0x801D07B0
Desert Mage Codes	0 Losses	Police NYPD	801D078A 0000	WRITE	0x801D078A
Desert Mage Codes	Max Wins	Police NYPD	801D0788 270F	WRITE	0x801D0788
Duel Master K Codes	0 Losses	Police NYPD	801D07BA 0000	WRITE	0x801D07BA
Duel Master K Codes	Max Wins	Police NYPD	801D07B8 270F	WRITE	0x801D07B8
Enemy Codes	Enemy Can Never Lay Any Cards Down	Police NYPD	801A7D1E 0000	WRITE	0x801A7D1E
Enemy Codes	Enemy Plater Keeps Attacking You Over And Over Again Till All You Die	Police NYPD	801A7D1E 8402	WRITE	0x801A7D1E
Enemy Codes	Infinite LP	Police NYPD	800EA024 270F	WRITE	0x800EA024
Enemy Codes	No LP	Police NYPD	800EA024 0000	WRITE	0x800EA024
Forest Mage Codes	0 Losses	Police NYPD	801D077A 0000	WRITE	0x801D077A
Forest Mage Codes	Max Wins	Police NYPD	801D0778 270F	WRITE	0x801D0778
Free Duel Codes	Enable All Duelist	Police NYPD	801D06F4 FFFF	WRITE	0x801D06F4
Free Duel Codes	Enable All Duelist	Police NYPD	801D06F6 FFFF	WRITE	0x801D06F6
Free Duel Codes	Free Duel Against Glitched Duelists For Guaranteed Drops (Press Select To Enable, Triangle To Return To Regular Screen)	roughnight	D00E9E28 C000	UNCHECKABLE	0x800E9E28
Free Duel Codes	Free Duel Against Glitched Duelists For Guaranteed Drops (Press Select To Enable, Triangle To Return To Regular Screen)	roughnight	D009B390 0100	UNCHECKABLE	0x8009B390
Free Duel Codes	Free Duel Against Glitched Duelists For Guaranteed Drops (Press Select To Enable, Triangle To Return To Regular Screen)	roughnight	8009B36C 0000	WRITE	0x8009B36C
Guardian Neku Codes	0 Losses	Police NYPD	801D07A6 0000	WRITE	0x801D07A6
Guardian Neku Codes	Max Wins	Police NYPD	801D07A4 270F	WRITE	0x801D07A4
Guardian Sebek Codes	0 Losses	Police NYPD	801D07A2 0000	WRITE	0x801D07A2
Guardian Sebek Codes	Max Wins	Police NYPD	801D07A0 270F	WRITE	0x801D07A0
Heishin 2nd Codes	0 Losses	Police NYPD	801D07AA 0000	WRITE	0x801D07AA
Heishin 2nd Codes	Max Wins	Police NYPD	801D07A8 270F	WRITE	0x801D07A8
Heishin Codes	0 Losses	Police NYPD	801D073E 0000	WRITE	0x801D073E
Heishin Codes	Max Wins	Police NYPD	801D073C 270F	WRITE	0x801D073C
Hero Codes	Infinite LP	Police NYPD	800EA004 270F	WRITE	0x800EA004
High Mage Anubisus Codes	0 Losses	Police NYPD	801D077E 0000	WRITE	0x801D077E
